Word,Defination
beholden,Obligated to provide display or do something for another indebted obliged
behoove,To befit be appropriate or necessary to somebody
belabor,US spelling of belabour
belated,Later in relation to the proper time something should have happened
beleaguer,To besiege to surround with troops
belie,To show evince or demonstrate  to be present particularly something deemed contradictory or ironic
belittle,To knowingly say that something is smaller or less important than it actually is especially as a way of showing contempt or deprecation
bellicose,Showing or having the impulse to be combative
belligerent,A state or other armed participant in warfare
bemoan,To be dismayed or worried about  particularly because of their situation or what has happened to them
bemused,simple past tense and past participle of bemuse
benediction,A Roman Catholic rite by which bells banners candles etc
benefactor,Somebody who gives a gift often money to a charity
beneficent,Given to acts that are kind charitable philanthropic or beneficial
beneficial,Helpful or good to something or someone
beneficiary,Holding some office or valuable possession in subordination to another holding under a feudal or other superior having a dependent and secondary possession
benefit,A payment made in accordance with an insurance policy or a public assistance scheme
benevolent,Altruistic charitable good just and fair
benign,Not posing any serious threat to health not particularly aggressive or recurrent
benison,A blessing benediction
bent,The state of being curved crooked or inclined from a straight line flexure curvity
bequeath,bequeath  bequoth past participle bequeathed or  bequethen or  bequothen)
berate,to chide or scold vehemently
bereaved,simple past tense and past participle of bereave
bereavement,The state of being bereaved deprivation especially the loss of a relative by death
bereft,simple past tense and past participle of bereave
berserk,Furiously injuriously or maniacally violent or out of control
beseech,to request or beg for
beset,To attack or assail especially from all sides
besiege,To beset or surround with armed forces for the purpose of compelling to surrender to lay siege to beleaguer
besmirch,To tarnish something especially someone's reputation
bestial,Beast-like
bestow,To give confer impart gratuitously present  to someone or something especially as a gift or honour
betoken,To foreshow by present signs indicate something future by that which is seen or known
betray,To deliver into the hands of an enemy by treachery or fraud in violation of trust to give up treacherously or faithlessly
betroth,To promise to take  to plight one's troth to
bevy,A small group of persons especially of girls and women
beware,To use caution pay attention to
bewitch,To fascinate or charm
bicameral,Relating to the functions of the two cerebral hemispheres in the history of human beings ‘hearing’ the speech of gods or idols according to Julian Jaynes's theory of the bicameral mind
bicker,The process by which selective eating clubs at Princeton University choose new members
bid,An offer at an auction or to carry out a piece of work
biennial,A plant that requires two years to complete its life-cycle germinating and growing in its first year then producing its flowers and fruit in its second year after which it usually dies
bifurcated,simple past tense and past participle of bifurcate
bigot,One who is narrow-mindedly devoted to their own ideas and groups and intolerant of  differing ideas races genders religions politics etc
bigotry,Characteristic qualities of a bigot:  intolerant prejudice opinionatedness or fanaticism fanatic intolerance
bilious,Suffering from real or supposed liver disorder especially excessive secretions of bile
bilk,To steal fuel from a self-service filling station by driving away without paying after filling the fuel tank or other container to commit a drive-off
billow,A large wave swell surge or undulating mass of something such as water smoke fabric or sound
billowing,The act of something that billows a billow
bitter,A hardware system whose architecture is based around units of the specified number of bits
bivouac,A structure formed by migratory ants out of their own bodies to protect the queen and larvae
bizarre,Strangely unconventional highly unusual and different from common experience often in an extravagant fantastic and/or conspicuous way
blackball,A substance for blacking shoes boots etc
blanch,To whiten for example the surface of meat by plunging into boiling water and afterwards into cold so as to harden the surface and retain the juices
bland,A summer beverage prepared from the whey of churned milk common among the inhabitants of the Shetland Islands
blandishment,Often in the plural form blandishments: a flattering speech or action designed to influence or persuade
blare,To cause to sound like the blare of a trumpet to proclaim loudly
blasphemous,Lacking piety or respect for the sacred
blasphemy,An act of irreverence or contempt toward a god or toward something considered sacred an impious act utterance view etc
blatant,Bellowing disagreeably clamorous sounding loudly and harshly
bleak,A small European river fish  of the family Cyprinidae
blemish,A small flaw which spoils the appearance of something a stain a spot
blight,A rapid and complete chlorosis browning then death of plant tissues such as leaves branches twigs or floral organs
blight,A rapid and complete chlorosis browning then death of plant tissues such as leaves branches twigs or floral organs
blighted,simple past tense and past participle of blight
blighted,simple past tense and past participle of blight
bliss,Perfect happiness
bliss,Perfect happiness
blithe,Casually careless or indifferent showing a lack of concern
blithe,Casually careless or indifferent showing a lack of concern
bloat,To fill soft substance with gas water etc
blotch,A bright or dark spot on old film caused by dirt and  loss of the gelatin covering the film due to age and poor film quality
blotch,A bright or dark spot on old film caused by dirt and  loss of the gelatin covering the film due to age and poor film quality
blowhard,A person who talks too much or too loudly especially in a boastful or self-important manner
bludgeon,A short heavy club often of wood which is thicker or loaded at one end
blue,The colour of the clear sky or the deep sea between green and purple in the visible spectrum and one of the primary additive colours for transmitted light the colour obtained by subtracting red and green from white light using magenta and cyan filters or any colour resembling this
blues,A musical form African-American in origin generally featuring an eight-bar or twelve-bar blues structure and using the blues scale
bluff,To frighten or deter with a false show of strength or confidence to give a false impression of strength or temerity in order to intimidate and gain some advantage
blunder,A very bad move usually caused by some tactical oversight
blunt,Abrupt in address plain unceremonious wanting the forms of civility rough in manners or speech
blurt,To utter suddenly and unadvisedly to speak quickly or without thought to divulge inconsiderately — commonly with out
blush,Of dope or varnish: to develop an undesirable white precipitate on the surface due to being applied in humid conditions
bluster,To act or speak in an unduly threatening manner
bode,To indicate by signs as future events to be an omen of to portend or foretell
bog,An area of decayed vegetation  which forms a wet spongy ground too soft for walking a marsh or swamp
bogus,Of a totally fictitious issue printed for collectors often issued on behalf of a non-existent territory or country
Bohemian,Alternative letter-case form of bohemian someone known for flouting social conventions especially someone involved in the arts
boisterous,Characterized by violence and agitation wild stormy
bolster,A short horizontal structural timber between a post and a beam for enlarging the bearing area of the post and/or reducing the span of the beam
bolt,A  metal fastener consisting of a cylindrical body that is threaded with a larger head on one end
bombardment,the incidence of an intense stream of high-energy particles directed at a substance
bombast,High-sounding words language above the dignity of the occasion a pompous or ostentatious manner of writing or speaking
bombastic,showy in speech and given to using flowery or elaborate terms grandiloquent pompous
bookish,Fond of reading or studying especially said of someone lacking social skills as a result
boon,The woody portion of flax separated from the fiber as refuse matter by retting braking and scutching
boor,A Boer white South African of Dutch or Huguenot descent
boorish,Behaving as a boor rough in manners
boost,To jump-start a vehicle by using cables to connect the battery in a running vehicle to the battery in a vehicle that won't start
botch,An action job or task that has been performed very badly a ruined defective or clumsy piece of work
bouillon,A clear seasoned broth made by simmering usually light meat such as beef or chicken
bound,A boundary the border which one must cross in order to enter or leave a territory
bountiful,Having a quantity or amount that is generous or plentiful ample
bourgeois,Of or relating to the middle class  their presumed overly conventional conservative and materialistic values
bout,The going and returning of a plough or other implement used to mark the ground and create a headland across a field
bovine,An animal of the family subfamily tribe or genera including cattle buffaloes and bison
bowdlerize,To remove or alter those parts of a text considered offensive vulgar or otherwise unseemly
brackish,Salty or slightly salty as a mixture of fresh and sea water such as that found in estuaries
brag,To boast to talk with excessive pride about what one has is able to do or has done often as an attempt to popularize oneself
braggadocio,Empty boasting
braggart,Someone who constantly brags or boasts
braid,A tubular sheath made of braided strands of metal placed around a central cable for shielding against electromagnetic interference
brand,The symbolic identity represented by a name and/or a logo which indicates a certain product or service to the public
brandish,To move or swing a weapon back and forth particularly if demonstrating anger threat or skill
bravado,A swaggering show of defiance or courage
brave,To encounter with courage and fortitude to defy to provoke
brawl,Especially of a rapid stream running over stones: to make a loud confused noise
brawn,Head cheese a terrine made from the head of a pig or calf originally boar's meat
brawny,Characterized by brawn muscular thewy strong
brazen,Generally followed by out or through: to carry through in a brazen manner to act boldly despite embarrassment risk etc
breach,A gap or opening made by breaking or battering as in a wall fortification or levee / embankment the space between the parts of a solid body rent by violence
breadth,A style in painting in which details are strictly subordinated to the harmony of the whole composition
breed,To keep animals and have them reproduce in a way that improves the next generation’s qualities
brevity,The quality of being brief in duration
bridle,A length of line or cable attached to two parts of something to spread the force of a pull as the rigging on a kite for attaching line
brim,To fill to the brim upper edge or top
brindled,of a brownish tawny or gray colour with streaks or spots streaky spotted
brink,The edge margin or border of a steep place as of a precipice a bank or edge
brisk,Full of liveliness and activity characterized by quickness of motion or action
bristle,To be on one's guard or raise one's defenses to react with fear suspicion or distance
bristle,To be on one's guard or raise one's defenses to react with fear suspicion or distance
brittle,Poorly error- or fault-tolerant having little in the way of redundancy or defense in depth susceptible to catastrophic failure in the event of a relatively-minor malfunction or deviance
broach,A series of chisel points mounted on one piece of steel
brocade,A thick heavy fabric into which raised patterns have been woven originally in gold and silver more recently any cloth incorporating raised woven patterns
brochure,A booklet of printed informational matter like a pamphlet often for promotional purposes
broil,To cause a rowdy disturbance embroil
bromide,A dose of bromide taken as a sedative or to reduce sexual appetite
brooch,A piece of ornamental jewellery having a pin allowing it to be fixed to garments worn on the upper body
brood,The eggs and larvae of social insects such as bees ants and some wasps especially when gathered together in special brood chambers or combs within the colony
brook,A body of running water smaller than a river a small stream
browbeat,To bully in an intimidating bossy or supercilious way
browse,To scan to casually look through in order to find items of interest especially without knowledge of what to look for beforehand
bruise,To strike  originally with something flat or heavy but now specifically in such a way as to discolour the skin without breaking it
brunt,The full adverse effects the chief consequences or negative results of a thing or event
brusque,Rudely abrupt unfriendly
buccaneer,Any of a group of seamen who cruised on their own account on the Spanish Main and in the Pacific in the 17th century who were similar to pirates but did not prey on ships of their own nation
bucolic,Relating to the pleasant aspects of rustic country life
buffet,A blow or cuff with or as if with the hand or by any other solid object or the wind
buffoon,One who acts in a silly or ridiculous fashion a clown or fool
buffoonery,The behaviour expected of a buffoon foolishness silliness
bugaboo,Alternative spelling of bug-a-boo
bulge,Something sticking out from a surface a swelling protuberant part a bending outward especially when caused by pressure
bulk,A hypothetical higher-dimensional space within which our own four-dimensional universe may exist
bullion,A heavy twisted fringe made of fine gold or silver wire and used for epaulets also any heavy twisted fringe whose cords are prominent
bully,A standoff between two players from the opposing teams who repeatedly hit each other's hockey sticks and then attempt to acquire the ball as a method of resuming the game in certain circumstances
bulwark,The planking or plating along the sides of a nautical vessel above her gunwale that reduces the likelihood of seas washing over the gunwales and people being washed overboard
bump,One of the protuberances on the cranium which in phrenology are associated with distinct faculties or affections of the mind
bungle,To incompetently perform  to ruin  through incompetent action to botch up to bumble
buoyant,Involving or engaged in much successful trade or activity
bureaucracy,A system of administration based upon organisation into bureaus division of labour a hierarchy of authority etc
burgeon,To swell to the point of bursting
burlesque,A variety adult entertainment show usually including titillation such as striptease most common from the 1880s to the 1930s
burly,Of large magnitude either good or bad and sometimes both
burnish,To shine forth to brighten to become smooth and glossy as from swelling or filling out hence to grow large
bust,To catch  in the act of doing something wrong socially and morally inappropriate or illegal especially when being done in a sneaky or secretive state
buttress,A brick or stone structure built against another structure to support it
buxom,Having a full voluptuous figure especially possessing large breasts
cabal,A putative secret organization of individuals gathered for a political purpose
cache,A fast temporary storage where recently or frequently used information is stored to avoid having to reload it from a slower storage medium
cacophonous,Containing consisting of or producing harsh unpleasant or discordant sounds
cadaver,A dead body especially the corpse of a human to be dissected
cadaverous,Corpselike hinting of death imitating a cadaver
cadence,A progression of at least two chords which conclude a piece of music section or musical phrases within it
cadet,A young gentleman learning sheep farming at a station also any young man attached to a sheep station
cajole,To persuade someone to do something which they are reluctant to do especially by flattery or promises to coax
calamity,The distress that results from some disaster
calculated,Arrived at or determined by mathematical calculation ascertained mathematically
caldron,Alternative spelling of cauldron
caliber,Unit of measure used to express the length of the bore of a weapon
calk,To copy  by rubbing the back of it with red or black chalk and then passing a blunt stylus or needle over the lines so as to leave a tracing on the paper or other thing against which it is laid or held
calligraphy,The art or practice of writing letters and words in a decorative style the letters and words so written
callous,Emotionally hardened unfeeling and indifferent to the suffering/feelings of others
callow,A callow or teneral phase of an insect or other arthropod typically shortly after ecdysis while the skin still is hardening the colours have not yet become stable and as a rule before the animal is able to move effectively
callus,The material of repair in fractures of bone a substance exuded at the site of fracture which is at first soft or cartilaginous in consistency but is ultimately converted into true bone and unites the fragments into a single piece
calorific,Relating to or producing heat or other energy
calumny,To make false accusations or levy false charges against a person with the intent to tarnish that person's reputation or standing to calumniate
camaraderie,Close friendship in a group of friends or teammates
cameo,A single very brief appearance especially by a prominent celebrity in a movie or song
camp,An electoral constituency of the legislative assembly of the Falkland Islands that composes of all territory more than 3
canard,A type of aircraft in which the primary horizontal control and stabilization surfaces are in front of the main wing
candor,The state of being sincere and open in speech honesty in expression
canine,Any of certain extant canids regarded as similar to the dog or wolf  but distinguished from the vulpines which are regarded as fox-like
canker,An obstinate and often incurable disease of a horse's foot characterized by separation of the horny portion and the development of fungoid growths
canny,Sounding as if it is coming through a tin can
cant,A sudden thrust push kick or other impulse producing a bias or change of direction also the bias or turn so given
cantankerous,Given to or marked by an ill-tempered nature ill-tempered cranky surly crabby
cantata,A vocal composition accompanied by instruments and generally containing more than one movement typical of 17th and 18th century Italian music
canter,"A gait of a horse between a trot and a gallop consisting of three beats and a ""suspension"" phase where there are no feet on the ground"
canto,One of the chief divisions of a long poem a book
canvass,A scrutiny of the votes cast in an election to reject irregular votes also a tally audit and certification of votes
capacious,Having a lot of space inside roomy
capacity,The maximum that can be produced on a machine or in a facility or group
capillary,Any of the small blood vessels  in diameter) that connect arteries to veins
capitulate,To surrender to end all resistance to give up to go along with or comply
caprice,An impulsive seemingly unmotivated action change of mind or notion
capricious,Impulsive and unpredictable determined by chance impulse or whim
capsize,To deform under stress
caption,A piece of text appearing on screen as a subtitle or other part of a film or broadcast describing dialogue  for viewers who cannot hear
captious,Having a disposition to find fault unreasonably or to raise petty objections cavilling nitpicky
carafe,A glass pot with a spout for pouring used for both serving coffee and as a receptacle during the brewing process
carapace,A hard protective covering of bone or chitin especially one which covers the dorsal portion of an animal
carat,Any of several units of weight varying from 189 to 212 mg the weight of a carob seed
carcinogenic,Causing or tending to cause cancer
cardinal,One of the officials appointed by the pope in the Roman Catholic Church ranking only below the pope and the patriarchs constituting the special college which elects the pope
cardiologist,A physician who specializes in medical problems related to the heart
careen,To heave a ship down on one side so as to expose the other in order to clean it of barnacles and weed or to repair it below the water line
career,General course of action or conduct in life or in a particular part of it
carefree,Without cares or worries free of concern or worries without difficulty
caricature,In facial recognition systems a face that has been modified to look less like the average face and thus more distinctive
carillon,A set of bells often in a bell tower sometimes operated by means of a keyboard  originating from the Low Countries
carnage,Any great loss by a team a game in which one team wins overwhelmingly
carnal,Relating to the physical and especially sexual appetites
carnivorous,Insectivorous: capable of trapping insects and absorbing nutrient from them
carousal,A noisy feast or social gathering often with much alcohol consumption
carping,present participle of carp
carrion,A contemptible or worthless person
cartographer,One who makes maps or charts
cascade,A sequence of absurd short messages posted to a newsgroup by different authors each one responding to the most recent message and quoting the entire sequence to that point
caste,A separate and fixed order or class of persons in society who chiefly associate with each other
castigation,Corrective punishment chastisement reproof
castrate,To take something from to render imperfect or ineffectual
casual,A member of a group of football hooligans who wear expensive designer clothing to avoid police attention see casual
casualty,Specifically a person who has been killed  due to an accident or through an act of violence a fatality
cataclysm,A sudden and violent change in the earth's crust
catalyst,A substance that increases the rate of a chemical reaction without being consumed in the process
catapult,A mechanical aid on aircraft carriers designed to help airplanes take off from the flight deck
cataract,A clouding of the lens in the eye leading to a decrease in vision
catastrophe,The dramatic event that initiates the resolution of the plot the dénouement
catcall,In the Eiffel programming language a run-time error caused by use of the wrong data type
catechism,A book in question and answer form summarizing the basic principles of Christianity
categorical,Of pertaining to or using a category or categories
cater,Synonym of acater: an officer who purchased cates  for the steward of a large household or estate
catharsis,A therapeutic technique to relieve tension by re-establishing the association of an emotion with the memory or idea of the event that first caused it and then eliminating it by complete expression
cathartic,That which releases emotional tension especially after an overwhelming experience
catholic,Common or prevalent especially universally prevalent
caucus,A usually preliminary meeting of party members to nominate candidates for public office or delegates to be sent a nominating convention or to confer regarding policy
cauldron,A large bowl-shaped pot used for boiling over an open flame
caulk,A composition of vehicle and pigment used at ambient temperatures for filling/sealing joints or junctures that remains elastic for an extended period of time after application
causal,of relating to or being a cause of something causing
caustic,Any substance or means which applied to animal or other organic tissue burns corrodes or destroys it by chemical action an escharotic
cauterize,To burn sear or freeze tissue using a hot iron electric current or a caustic agent
cavalcade,To move as part of a series or group such as marchers in a parade or snow in an avalanche especially in large numbers or in a chaotic or dangerous fashion
cavalier,A Cavalier King Charles Spaniel a small breed of spaniel of English origin with a silky smooth coat and commonly a smooth undocked tail
cavil,cavil  cavilling or  caviling simple past and past participle  cavilled or  caviled)
cede,To give up yield to another
celerity,The speed with which a perturbation to the flow propagates through the flow domain
celestial,Relating to the sky or outer space regarded as the realm of the sun moon planets and stars
celibate,One who is not married especially one who has taken a religious vow not to get married usually because of being a member of a religious community
cemetery,A place where the dead are buried a graveyard or memorial park
censor,One of the two magistrates who originally administered the census of citizens and by Classical times  was a high judge of public behaviour and morality
censorious,Addicted to censure and scolding apt to blame or condemn severe in making remarks on others or on their writings or manners
censure,Judicial or ecclesiastical sentence or reprimand condemnatory judgment
centaur,A mythical beast having a horse's body with a man's head and torso in place of the head and neck of the horse
centigrade,A centigrade temperature scale having the freezing point of water defined as 0° and its boiling point defined as 100° at standard atmospheric pressure
centrifugal,A rotating machine used to separate massecuite into sugar crystals and molasses
centrifuge,A device in which a mixture of denser and lighter materials  is separated by being spun about a central axis at high speed
centripetal,Directed towards the central nervous system afferent
centurion,A pilot in the United States Navy who has performed 100 night landings on an aircraft carrier
cerebral,Of or relating to the brain cerebrum or cerebral cortex
cerebration,The act of cerebrating thinking reflection thought
ceremonious,Fond of ceremony ritual or strict etiquette punctilious
certitude,Something that is a certainty
cessation,A ceasing or discontinuance for example of an action whether temporary or final
cession,The giving up of rights property etc
chafe,To excite heat in by friction to rub in order to stimulate and make warm
chaff,Loose material e
chaff,Loose material e
chagrin,Distress of mind caused by a failure of aims or plans want of appreciation mistakes etc vexation or mortification
chalice,A large drinking cup often having a stem and base and used especially for formal occasions and religious ceremonies
chameleon,A hypothetical scalar particle with a non-linear self-interaction giving it an effective mass that depends on its environment: the presence of other fields
champion,A particularly notable member of a plant species such as one of great size
championship,A competition to determine a champion especially the final of a series of competitions
chancellor,A senior record keeper of a cathedral a senior legal officer for a bishop or diocese in charge of hearing cases involving ecclesiastical law
chant,A short and simple melody divided into two parts by double bars to which unmetrical psalms etc
chaotic,Highly sensitive to starting conditions so that a small change to them may yield a very different outcome
chapel,A place of worship in another building or within a civil institution such as a larger church airport prison monastery school etc
chaperon,An adult who accompanies or supervises one or more young unmarried men or women during social occasions usually with the specific intent of preventing some types of social or sexual interactions or illegal behavior
chaplain,A member of a religious body who is  officially assigned to provide pastoral care at an institution group private chapel etc
char,To work especially to do housework to work by the day without being a regularly hired servant
charisma,An extraordinary power granted by the Holy Spirit
charlatan,A mountebank someone who addresses crowds in the street  an itinerant seller of medicines or drugs
charm,A second-order measure of derivative price sensitivity expressed as the instantaneous rate of change of delta with respect to time
chary,Excessively particular or fussy about details fastidious
chase,"The occurrence of a second bounce by the ball in certain areas of the court giving the server the chance later in the game to ""play off"" the chase from the receiving end and possibly win the point"
chasm,A deep steep-sided rift gap or fissure a gorge or abyss
chassis,A base frame or movable railway along which the carriage of a mounted gun moves backward and forward
chaste,Abstaining from immoral or unlawful sexual intercourse
chasten,To chastize to punish or reprimand for the sake of improvement
chastise,To punish  especially by corporal punishment
chauvinist,Chauvinistic excessively patriotic or heavily biased
check,To turn when in pursuit of proper game and fly after other birds
checkered,Changeable inconsistent having variations or uncertainty marked by many problems or failures
chequered,simple past tense and past participle of chequer
cherubic,Of or relating to a cherub angelic
chicanery,Deception by use of trickery quibbling or subterfuge
chide,To utter words of disapprobation and displeasure to find fault to contend angrily
chimerical,Impossible to physically produce due to having an impossibly-high saturation or luminosity but viewable by overlaying an afterimage and a suitably-colored physical image
chip,To play a shot hitting the ball predominantly upwards rather than forwards
chisel,A cutting tool used to remove parts of stone wood or metal by pushing or pounding the back when the sharp edge is against the material
chivalrous,Honourable especially to women gallant
choice,One selection or preference that which is chosen or decided the outcome of a decision
choir,A group of people who sing together a company of people who are trained to sing together
choleric,Having a temperament characterized by an excess of choler easily becoming angry
chore,A task especially a difficult unpleasant or routine one
choreography,The art of creating arranging and recording the dance movements of a work such as a ballet
chortle,A joyful somewhat muffled laugh rather like a snorting chuckle
chorus,A group of singers performing together a choir specifically such a group singing together in a musical an opera etc
chronic,A condition of extended duration either continuous or marked by frequent recurrence
chronicle,A written account of events and when they happened ordered by time
chuckle,To call together or call to follow as a hen calls her chickens to cluck
churlish,Difficult to till lacking pliancy unmanageable
ciliated,endowed with vibratory motion
cipher,A fault in an organ valve which causes a pipe to sound continuously without the key having been pressed
circlet,A ring  worn as an ornament on the head
circuit,By analogy to the proceeding three a set of theaters among which the same acts circulate especially common in the heyday of vaudeville
circuitous,Of a long and winding route
circumlocution,An instance of such usage a roundabout expression whether an inadvisable one or a necessary one
circumscribe,To draw the smallest circle or higher-dimensional sphere that has  in its interior
circumspect,Carefully aware of all circumstances considerate of all that is pertinent
circumvent,to avoid or get around something to bypass
cistern,A reservoir or tank for holding water especially for catching and holding rainwater for later use
citadel,An armoured portion of a warship housing important equipment
cite,to list the source from which one took information words or literary or verbal context
civil,Having to do with people and government office as opposed to the military or religion
clairvoyant,Relating to a form of parallel processing algorithm given advance information about the problem
clamber,To climb  with some difficulty or in a haphazard fashion
clamor,A continued public expression often of dissatisfaction or discontent a popular outcry
clandestine,Done or kept in secret sometimes to conceal an illicit or improper purpose
clangor,Canada US standard spelling of clangour
clap,Any loud sudden explosive sound made by striking hard surfaces together or resembling such a sound
clapper,The hinged part of a clapperboard used to synchronise images and soundtrack or the clapperboard itself
clarion,The sound of a clarion or any sound resembling the loud piping note of a clarion
clasp,To shut or fasten together with or as if with a clasp
claustrophobia,The fear of closed tight places
clavicle,The collarbone the prominent bone at the top of the chest between the shoulder and the neck connecting the shoulder and the breastbone
cleave,To break a single crystal  along one of its more symmetrical crystallographic planes  forming facets on the resulting pieces
cleft,"To syntactically separate a prominent constituent from the rest of the clause that concerns it such as threat in ""The threat which I saw but which he didn't see was his downfall"
clemency,A pardon commutation or similar reduction removal or postponement of legal penalties by an executive officer of a state
cliche,Alternative form of cliché
clientele,The body or class of people who frequent an establishment or purchase a service especially when considered as forming a more-or-less homogeneous group of clients in terms of values or habits
climactic,Of pertaining to or constituting a climax reaching a decisive moment or point of greatest excitement
clime,A particular region defined by its weather or climate
clip,To perform an illegal tackle throwing the body across the back of an opponent's leg or hitting him from the back below the waist while moving up from behind unless the opponent is a runner or the action is in close line play
clipper,A circuit which prevents the amplitude of a wave from exceeding a set value
clique,A group of related web sites that link to each other like a webring but with exclusive membership determined by the clique owner
cloister,A covered walk with an open colonnade on one side running along the walls of buildings that face a quadrangle especially:
clot,To cause to clot or form into a mass
clout,The center of the butt at which archers shoot probably once a piece of white cloth or a nail head
clown,A slapstick performance artist often associated with a circus and usually characterized by bright oversized clothing a red nose face paint and a brightly colored wig
cloying,present participle of cloy
coagulate,To become congealed to convert from a liquid to a semisolid mass
coalesce,To bond pieces of metal into a continuous whole by liquefying parts of each piece bringing the liquids into contact and allowing the combined liquid to solidify
coalition,A temporary group or union of organizations usually formed for a particular advantage
coax,To carefully manipulate  into a particular desired state situation or position
coda,In seismograms the gradual return to baseline after a seismic event
coddle,An Irish dish comprising layers of roughly sliced pork sausages and bacon rashers with sliced potatoes and onions
codicil,An addition or supplement that explains modifies or revokes a will or part of one
codify,To reduce to a code to arrange into a code
coercion,Use of physical or moral force to compel a person to do something or to abstain from doing something thereby depriving that person of the exercise of free will
coeval,Of the same age contemporary
cog,A projection or tenon at the end of a beam designed to fit into a matching opening of another piece of wood to form a joint
cogent,Appealing to the intellect or powers of reasoning
cogitate,To meditate to ponder to think deeply
cognate,A word either descended from the same base word of the same ancestor language as the given word or strongly believed to be a regular reflex of the same reconstructed root of proto-language as the given word
cognitive,Relating to the part of mental functions that deals with logic as opposed to affective which deals with emotions
cognizance,An emblem badge or device used as a distinguishing mark by the body of retainers of a royal or noble house
cohabit,To live together with someone else especially in a romantic and sexual relationship but without being married
cohere,To be consistent as part of a group or by common purpose
cohesion,Grammatical or lexical relationship between different parts of the same text
cohort,A set of individuals in a program especially when compared to previous sets of individuals within the same program
coiffure,to style or arrange hair
coin,A piece of currency usually metallic and in the shape of a disc but sometimes polygonal or with a hole in the middle
coincidence,A fixed point of a correspondence a point of a variety corresponding to itself under a correspondence
colander,A bowl-shaped kitchen utensil with holes in it used for draining food such as pasta
collaborate,To voluntarily cooperate treasonably as with an enemy occupation force in one's country
collage,A composite object or collection  created by the assemblage of various media especially for a work of art such as text film etc
collate,To admit a cleric to a benefice to present and institute in a benefice when the person presenting is both the patron and the ordinary followed by to
collateral,A thinner blood vessel providing an alternate route to blood flow in case the main vessel becomes occluded
collation,An heir's right to combine the whole heritable and movable estates of the deceased into one mass sharing it equally with others who are of the same degree of kindred
collected,simple past tense and past participle of collect
colloquial,Characteristic of familiar conversation of common parlance informal
colloquy,A discussion during a trial in which a judge ensures that the defendant understands what is taking place in the trial and what their rights are
collusion,A secret agreement for an illegal purpose conspiracy
colossal,Amazingly spectacular extraordinary epic
colossus,A statue of gigantic size
coma,A tuft or bunch such as the assemblage of branches forming the head of a tree a cluster of bracts when empty and terminating the inflorescence of a plant or a tuft of long hairs on certain seeds
comatose,In a coma: unconscious
combustible,Easily kindled or excited quick fiery irascible
comeback,An occurrence of an athlete or sports team in a competition overcoming a substantial disadvantage in points to win or draw
comely,Suitable or becoming proper agreeable
comestible,Anything that can be eaten food
comeuppance,Retribution or outcome that is justly deserved
comity,Friendly understanding and mutual recognition between two entities especially nations
commandeer,To take or use for some purpose
commemorate,To honour the memory of someone or something with a ceremony or object
commemorative,A postage stamp issued to commemorate usually a person or event also commonly applied to thematic  stamp issues
commensurate,Describing a crystal in which every atom or molecule is placed in the same relative position
commiserate,To offer condolences jointly with express sympathy with
commodious,Spacious and convenient roomy and comfortable
commonplace,A memorandum something to be frequently consulted or referred to
commonwealth,The entirety of a  society a polity a state
communal,defined by religious ideas based on religion
commune,A small community often rural whose members share in the ownership of property and in the division of labour the members of such a community
compact,A small slim folding case often featuring a mirror powder and a powderpuff that fits into a woman's purse or handbag or that slips into one's pocket
compartment,A mound  beneath the shield in a coat of arms on which the supporters stand
compassion,Deep awareness of the suffering of another coupled with the wish to relieve it
compatible,Something that is compatible with something else
compelling,An act of compulsion an obliging somebody to do something
compendium,A short complete summary an abstract
compensate,To make up for to do something in place of something else to correct satisfy to reach an agreement such that the scales are literally or  balanced to equalize or make even
compilation,That which is compiled especially a book or document composed of materials gathering from other books or documents
compile,To put together to assemble to make by gathering things from various sources
complacency,A feeling of contented self-satisfaction especially when unaware of upcoming trouble
complaisant,Willing to do what pleases others obliging
complement,Something which completes something which combines with something else to make up a complete whole loosely something perceived to be a harmonious or desirable partner or addition
complementary,Pertaining to pairs of properties in quantum mechanics that are inversely related to each other such as speed and position or energy and time
compliance,The department of a business that ensures all government regulations are complied with
compliant,Compatible with or following guidelines specifications rules or laws
complicity,The state of being complicit involvement as a partner or accomplice especially in a crime or other wrongdoing
component,A smaller self-contained part of a larger entity
comport,To be in agreement  to be of an accord
compost,The decayed remains of organic matter that has rotted into a natural fertilizer
composure,The act of composing or that which is composed a composition
compound,To increase in value with interest where the interest is earned on both the principal sum and prior earned interest
comprehend,To understand or grasp fully and thoroughly
comprehensive,Broadly or completely covering including a large proportion of something
compress,A multiply folded piece of cloth a pouch of ice etc
comprise,To include contain or be made up of defining the minimum elements whether essential or inessential to define an invention
compromise,A breach of a computer or network's rules such that an unauthorized disclosure or loss of sensitive information may have occurred or the unauthorized disclosure or loss itself
compulsion,An irrational need or irresistible urge to perform some action often despite negative consequences
compulsive,Having power to compel exercising or applying compulsion
compulsory,Having the power of compulsion constraining
compunction,A pricking of conscience or a feeling of regret especially one which is slight or fleeting
compute,to reckon calculate
concatenate,To join or link together as though in a chain
concave,An indented area on the top of a skateboard providing a position for foot placement and increasing board strength
concede,To grant as a right or privilege to make concession of
conceit,An ingenious expression or metaphorical idea especially in extended form or used as a literary or rhetorical device
concentric,in the direction of contraction of a muscle
conception,The power or faculty of apprehending of forming an idea in the mind the power of recalling a past sensation or perception the ability to form mental abstractions
